CHI ID COM,HS ID HS4,Exports,Imports
6,7315.0,0.0,6845.87
6,7318.0,0.0,7310.29
6,7320.0,0.0,603.59
6,7326.0,0.0,405.32
6,7412.0,0.0,376.48
6,7415.0,0.0,128.32
6,8208.0,0.0,54564.17
6,8302.0,0.0,1157.72
6,8309.0,0.0,902726.74
6,8407.0,0.0,756.0
6,8408.0,0.0,2020.0
6,8409.0,0.0,92.78
6,8413.0,0.0,1271.01
6,8414.0,0.0,7178.33
6,8418.0,0.0,1320.93
6,8419.0,78173.02,147000.0
6,8420.0,0.0,168287.21
6,8421.0,0.0,51249.69
6,8422.0,10782.49,429665.62
6,8424.0,0.0,250.58
6,8428.0,0.0,1309.83
6,8430.0,0.0,3400.0
6,8432.0,0.0,1870.98
6,8433.0,0.0,3642.5
6,8434.0,0.0,9635.55
6,8436.0,0.0,26909.7
6,8438.0,0.0,434815.35
6,8465.0,0.0,2077.27
6,8466.0,0.0,3078.09
6,8467.0,0.0,11231.97
6,8471.0,0.0,2599.64
6,8473.0,0.0,1231.99
6,8479.0,0.0,3984.78
6,8481.0,0.0,1346.57
6,8482.0,0.0,1062.84
6,8483.0,0.0,29481.18
6,8501.0,0.0,37048.8
6,8512.0,0.0,888.55
6,8514.0,0.0,4820.0
6,8517.0,0.0,2053.59
6,8518.0,0.0,5487.92
6,8523.0,0.0,175.47
6,8525.0,0.0,6792.64
6,8526.0,0.0,20624.16
6,8529.0,0.0,3691.26
6,8531.0,0.0,1976.28
6,8536.0,0.0,6775.45
6,8537.0,0.0,8787.64
6,8538.0,0.0,95.41
6,8541.0,0.0,872.32
6,8542.0,0.0,4711.42
6,8543.0,0.0,2155.59
6,8544.0,0.0,3800.0
6,8701.0,0.0,8692.54
6,8703.0,0.0,46456.37
6,8704.0,0.0,133377.79
6,8705.0,0.0,40000.0
6,8708.0,0.0,275.72
6,8712.0,0.0,26.46
6,8715.0,0.0,54.03
6,8716.0,0.0,24669.62
6,8903.0,0.0,62060.0
6,9005.0,0.0,5571.63
6,9014.0,0.0,1336.08
6,9015.0,0.0,45180.89
6,9030.0,0.0,816.92
6,9031.0,0.0,4093.4
6,9205.0,0.0,1428.52
6,9206.0,0.0,1362.98
6,9401.0,0.0,158.76
6,9403.0,0.0,102.53
6,9405.0,0.0,3017.78
6,9503.0,0.0,3562.3
6,9505.0,0.0,942.56
6,9506.0,0.0,185.0
7,2501.0,0.0,18260.84
7,2530.0,0.0,5188.98
7,2603.0,2283242368.76,0.0
7,2827.0,0.0,2618.28
7,2837.0,0.0,39792839.31
7,3304.0,0.0,364.6
7,3402.0,0.0,612815.72
7,3506.0,0.0,906.66
7,3822.0,0.0,67122.88
7,3923.0,0.0,649.66
7,3924.0,0.0,500.41
7,3926.0,0.0,8330.66
7,4010.0,0.0,1820774.57
