BRA ID MIR,HS ID HS4,Exports,Imports
1am0002,3703,45710431.0,116922442.0
1am0002,3806,58403.0,289465.0
1am0002,3808,444601.0,8319.0
1am0002,3809,12680.0,829.0
1am0002,3810,6703429.0,18477667.0
1am0002,3811,1984.0,244235.0
1am0002,3815,31098.0,38995104.0
1am0002,3824,71010.0,15668707.0
1am0002,3901,102509.0,151933404.0
1am0002,3902,165295.0,84667439.0
1am0002,3903,1323828.0,305364991.0
1am0002,3904,882814.0,30198334.0
1am0002,3905,15605.0,2214849.0
1am0002,3906,653.0,782309.0
1am0002,3907,895927.0,448150329.0
1am0002,3908,220569.0,24108536.0
1am0002,3909,22858.0,3431873.0
1am0002,3910,86358.0,34243506.0
1am0002,3912,120712.0,25576931.0
1am0002,3913,84757.0,1573304.0
1am0002,3915,1114593.0,11571.0
1am0002,3916,29723.0,318968.0
1am0002,3917,5172.0,33559037.0
1am0002,3919,2559428.0,226312556.0
1am0002,3920,1080070.0,83942491.0
1am0002,3921,37829.0,74972351.0
1am0002,3923,12403669.0,75040938.0
1am0002,3924,6464387.0,11866042.0
1am0002,3925,291443.0,715468.0
1am0002,3926,1415423.0,108714680.0
1am0002,4002,2.0,18015125.0
1am0002,4006,0.0,568503.0
1am0002,4008,5.0,391661.0
1am0002,4009,9342.0,151565056.0
1am0002,4010,18541.0,7977050.0
1am0002,4011,59775.0,148818330.0
1am0002,4013,2725.0,4538191.0
1am0002,4016,352623.0,153444358.0
1am0002,4017,359.0,158414.0
1am0002,4202,32791.0,67064303.0
1am0002,4409,3748297.0,4197.0
1am0002,4411,2991.0,1729577.0
1am0002,4412,4776364.0,69139.0
1am0002,4415,66916.0,44898.0
1am0002,4418,42026.0,74339.0
1am0002,4419,9735.0,10208.0
1am0002,4420,7104.0,686580.0
1am0002,4504,17.0,9312.0
1am0002,4602,442.0,2687.0
1am0002,4707,97313.0,3774.0
1am0002,4802,17946.0,2705610.0
1am0002,4808,0.0,10016.0
1am0002,4811,2458748.0,35929205.0
1am0002,4819,68892.0,93752331.0
1am0002,4821,39609.0,9682728.0
1am0002,4822,15290.0,292040.0
1am0002,4823,168395.0,16905959.0
1am0002,4901,9155.0,257689.0
1am0002,4907,6.0,5907.0
1am0002,4908,6152.0,103218.0
1am0002,4911,25406.0,9198435.0
1am0002,5407,7498.0,2460184.0
1am0002,5602,134040.0,13700873.0
1am0002,5603,60577.0,480224.0
1am0002,5807,44.0,61647.0
1am0002,5903,130135.0,1682026.0
1am0002,5906,1852.0,1013969.0
1am0002,5910,1851.0,37193.0
1am0002,6105,2079.0,395753.0
1am0002,6203,732975.0,1570378.0
1am0002,6306,145800.0,167965.0
1am0002,6307,278.0,2689466.0
1am0002,6804,25024.0,742495.0
1am0002,6805,5876.0,734520.0
1am0002,6812,1529.0,284751.0
1am0002,6813,132.0,1407029.0
1am0002,6815,1436.0,680359.0
1am0002,6914,3.0,183274.0
1am0002,7007,11.0,647837.0
1am0002,7009,9917.0,21630289.0
1am0002,7015,124.0,228803.0
1am0002,7019,251415.0,11572232.0
1am0002,7106,865881.0,302355910.0
1am0002,7108,86790.0,552794.0
1am0002,7115,709300.0,320824.0
1am0002,7204,13675336.0,9554.0
1am0002,7208,123.0,23795632.0
1am0002,7210,83767.0,254290417.0
1am0002,7211,58.0,2430472.0
1am0002,7212,4200.0,31129803.0
1am0002,7215,570.0,682682.0
1am0002,7219,85500.0,498199.0
1am0002,7220,9995.0,24067810.0
1am0002,7225,5283.0,1298510.0
1am0002,7229,378.0,867305.0
1am0002,7306,1733.0,7381694.0
1am0002,7307,2012.0,4091530.0
1am0002,7309,13948000.0,1872323.0
1am0002,7310,780106.0,2301396.0
1am0002,7312,921.0,837100.0
1am0002,7314,18.0,8984555.0
1am0002,7315,218348.0,43996745.0
1am0002,7317,700.0,2890057.0
1am0002,7318,3974247.0,409793764.0
1am0002,7320,175951.0,49502096.0
1am0002,7322,799.0,89661.0
1am0002,7325,2907.0,757782.0
1am0002,7326,5567289.0,66432146.0
1am0002,7408,77587.0,2476815.0
1am0002,7410,12726.0,431549.0
1am0002,7411,329853.0,117711724.0
1am0002,7412,1127.0,5609799.0
1am0002,7413,626.0,370298.0
1am0002,7415,14887.0,19413093.0
1am0002,7419,45.0,2944079.0
1am0002,7506,157.0,648238.0
1am0002,7508,1098.0,881403.0
1am0002,7601,427751.0,16931425.0
1am0002,7602,422718.0,11030456.0
1am0002,7604,52984.0,5360085.0
1am0002,7606,1024034.0,140771575.0
1am0002,7607,163249.0,22739874.0
1am0002,7609,1604.0,64450.0
1am0002,7612,521694.0,1529240.0
1am0002,7616,22780.0,20568087.0
1am0002,7806,338385.0,1006.0
1am0002,7907,323.0,1181325.0
1am0002,8001,3574936.0,10984255.0
1am0002,8003,15436372.0,4150013.0
1am0002,8007,44406.0,11190802.0
1am0002,8203,64.0,414800.0
1am0002,8204,434.0,783429.0
1am0002,8205,6786.0,2113709.0
1am0002,8206,4894.0,8958460.0
1am0002,8207,202590.0,27538712.0
1am0002,8209,317.0,32687.0
1am0002,8212,473697966.0,52283224.0
1am0002,8301,438355.0,47674272.0
1am0002,8302,4230383.0,15988670.0
1am0002,8303,647527.0,11498339.0
1am0002,8307,594.0,113357.0
1am0002,8308,3835.0,83714.0
1am0002,8309,23994461.0,1751063.0
1am0002,8310,114.0,141822.0
1am0002,8311,2592355.0,20633608.0
1am0002,8404,3222.0,220.0
1am0002,8405,134.0,452019.0
1am0002,8407,123322.0,228979066.0
1am0002,8408,338905.0,83653215.0
1am0002,8409,26864294.0,1020239785.0
1am0002,8411,4382903.0,102281014.0
1am0002,8412,9676.0,7393420.0
1am0002,8413,552295.0,252662547.0
1am0002,8414,420878.0,766060762.0
1am0002,8415,918793.0,993452402.0
1am0002,8417,59670.0,7558436.0
1am0002,8418,13052.0,5428863.0
1am0002,8419,43980.0,16738430.0
1am0002,8420,256923.0,113822.0
1am0002,8421,193132.0,205359034.0
1am0002,8422,143078.0,23290617.0
1am0002,8423,1745.0,9319658.0
1am0002,8424,300694.0,17332191.0
1am0002,8428,252500.0,32612532.0
1am0002,8431,368132.0,16856367.0
1am0002,8441,1078381.0,10292632.0
1am0002,8443,1184785.0,125920141.0
1am0002,8454,87983.0,1886823.0
1am0002,8456,21813.0,1560479.0
1am0002,8457,173980.0,6678355.0
1am0002,8459,478225.0,3408598.0
1am0002,8460,671080.0,3084802.0
1am0002,8462,763247.0,64964867.0
1am0002,8465,11769.0,2048561.0
1am0002,8466,182863.0,19526861.0
1am0002,8467,3942.0,14933450.0
1am0002,8468,1019103.0,2491110.0
1am0002,8471,15030704.0,692038339.0
1am0002,8472,63550432.0,18144182.0
1am0002,8473,17133092.0,1780055273.0
1am0002,8477,1435989.0,164091070.0
1am0002,8479,5597862.0,420496429.0
1am0002,8480,4833166.0,238382064.0
1am0002,8481,316876.0,138768438.0
1am0002,8482,30715.0,128543231.0
1am0002,8483,2427876.0,633353445.0
1am0002,8484,8739.0,5374187.0
1am0002,8486,230744.0,2680028.0
1am0002,8487,4638.0,2211493.0
1am0002,8501,937355.0,341950434.0
1am0002,8503,738.0,3738849.0
1am0002,8504,7401374.0,1033231628.0
1am0002,8505,413.0,13279177.0
1am0002,8506,57223.0,41951151.0
1am0002,8507,4445427.0,451788605.0
1am0002,8509,42747.0,107886.0
1am0002,8510,5824.0,2097366.0
1am0002,8511,82118.0,265580839.0
1am0002,8512,18099110.0,128789094.0
1am0002,8514,18427.0,6382034.0
1am0002,8515,455671.0,56397133.0
1am0002,8516,1742577.0,212439345.0
1am0002,8517,349148060.0,2758130054.0
1am0002,8518,2874223.0,638119662.0
1am0002,8519,11500.0,100147.0
1am0002,8521,349539.0,24929136.0
1am0002,8522,37448.0,249633582.0
1am0002,8523,15687151.0,530678746.0
1am0002,8525,5986840.0,38625158.0
1am0002,8526,515169.0,4759916.0
1am0002,8527,27102495.0,22586065.0
1am0002,8528,105505187.0,30376786.0
1am0002,8529,53391271.0,11850409444.0
1am0002,8531,3501853.0,21226687.0
1am0002,8532,2227718.0,510758218.0
1am0002,8533,411246.0,148575357.0
1am0002,8534,5439843.0,802014535.0
1am0002,8535,5486.0,3152615.0
1am0002,8536,78655696.0,767940176.0
1am0002,8537,106734.0,18090150.0
1am0002,8538,1501857.0,54135958.0
1am0002,8539,40514.0,50949577.0
1am0002,8540,416656.0,161157022.0
1am0002,8541,2992328.0,607010638.0
1am0002,8542,51048761.0,5410262824.0
1am0002,8543,1546481.0,195313553.0
1am0002,8544,2760553.0,630823447.0
1am0002,8545,240.0,927534.0
1am0002,8546,1080592.0,8832837.0
1am0002,8547,804116.0,26358575.0
1am0002,8548,12655.0,3031.0
1am0002,8609,2421000.0,3780796.0
1am0002,8703,2000.0,17482960.0
1am0002,8704,9980903.0,26351.0
1am0002,8707,77500.0,2007.0
1am0002,8708,4929205.0,27395879.0
1am0002,8711,764670480.0,138572828.0
1am0002,8712,71.0,482889.0
1am0002,8714,2779843.0,1736658437.0
1am0002,8716,1176.0,1542857.0
1am0002,8802,3600000.0,16229955.0
1am0002,8803,1180460.0,5968764.0
