BRA ID MIR,HS ID HS4,Year,Exports,Imports
1am0002,3209,2011,91635.0,812894.0
1am0002,3209,2012,941.0,481595.0
1am0002,3210,2014,22.0,48211.0
1am0002,3215,2013,16734.0,3352799.0
1am0002,3215,2014,15751.0,3274065.0
1am0002,3301,2011,809761.0,2098243.0
1am0002,3301,2012,462564.0,2267510.0
1am0002,3301,2013,561676.0,2760776.0
1am0002,3301,2014,524245.0,2858285.0
1am0002,3302,2011,327828.0,39480670.0
1am0002,3302,2012,220423.0,42832734.0
1am0002,3302,2013,670809.0,43952004.0
1am0002,3302,2014,1641260.0,46502835.0
1am0002,3304,2012,1258.0,863148.0
1am0002,3304,2013,2617.0,974167.0
1am0002,3304,2014,32697.0,1292745.0
1am0002,3305,2012,26198.0,12283.0
1am0002,3305,2013,116385.0,192812.0
1am0002,3305,2014,12365.0,94821.0
1am0002,3307,2011,23331.0,271398.0
1am0002,3307,2012,594.0,276577.0
1am0002,3307,2013,1989.0,58010.0
1am0002,3307,2014,30583.0,108098.0
1am0002,3401,2012,7000.0,71701.0
1am0002,3401,2014,21653.0,94490.0
1am0002,3402,2011,3745505.0,858134.0
1am0002,3402,2012,4788816.0,1532240.0
1am0002,3402,2013,2752301.0,1105808.0
1am0002,3402,2014,224313.0,1086667.0
1am0002,3403,2012,8.0,272609.0
1am0002,3403,2014,1222.0,433207.0
1am0002,3405,2011,769653.0,30084.0
1am0002,3405,2012,854856.0,18824.0
1am0002,3405,2013,469091.0,81827.0
1am0002,3405,2014,523355.0,64084.0
1am0002,3505,2011,61088.0,6537.0
1am0002,3505,2013,74.0,216599.0
1am0002,3506,2011,47749.0,4332386.0
1am0002,3506,2012,9850.0,4223688.0
1am0002,3506,2013,2486.0,6919061.0
1am0002,3506,2014,6325.0,3859538.0
1am0002,3606,2013,317100.0,2124864.0
1am0002,3703,2011,15908736.0,31820311.0
1am0002,3703,2012,15277326.0,34725246.0
1am0002,3703,2013,8935174.0,26278844.0
1am0002,3703,2014,5589195.0,24098041.0
1am0002,3806,2014,58403.0,289465.0
1am0002,3808,2011,444601.0,8319.0
1am0002,3809,2013,12680.0,829.0
1am0002,3810,2011,1195244.0,4894406.0
1am0002,3810,2012,1701338.0,4835429.0
1am0002,3810,2013,2773480.0,4488174.0
1am0002,3810,2014,1033367.0,4259658.0
1am0002,3811,2012,1984.0,244235.0
1am0002,3815,2013,31098.0,38995104.0
1am0002,3824,2011,41357.0,2183122.0
1am0002,3824,2012,13485.0,2892972.0
1am0002,3824,2013,9271.0,2997354.0
1am0002,3824,2014,6897.0,7595259.0
1am0002,3901,2012,84089.0,57746258.0
1am0002,3901,2013,18420.0,94187146.0
1am0002,3902,2012,2014.0,32405034.0
1am0002,3902,2013,163281.0,52262405.0
1am0002,3903,2011,351199.0,72358732.0
1am0002,3903,2012,396288.0,70735422.0
1am0002,3903,2013,227483.0,78049801.0
1am0002,3903,2014,348858.0,84221036.0
1am0002,3904,2011,752117.0,9806229.0
1am0002,3904,2012,127254.0,11022459.0
1am0002,3904,2014,3443.0,9369646.0
1am0002,3905,2013,15605.0,2214849.0
1am0002,3906,2013,653.0,782309.0
1am0002,3907,2011,45683.0,161771792.0
1am0002,3907,2012,60185.0,100403398.0
1am0002,3907,2013,511437.0,114096952.0
1am0002,3907,2014,278622.0,71878187.0
1am0002,3908,2012,139220.0,12397179.0
1am0002,3908,2013,81349.0,11711357.0
1am0002,3909,2012,4248.0,1857281.0
1am0002,3909,2014,18610.0,1574592.0
1am0002,3910,2011,62241.0,9132676.0
1am0002,3910,2012,18013.0,7551390.0
1am0002,3910,2013,5493.0,8838334.0
1am0002,3910,2014,611.0,8721106.0
1am0002,3912,2012,95764.0,11036422.0
1am0002,3912,2013,23780.0,7478076.0
1am0002,3912,2014,1168.0,7062433.0
1am0002,3913,2011,16646.0,704582.0
1am0002,3913,2014,68111.0,868722.0
1am0002,3915,2011,450154.0,5874.0
1am0002,3915,2012,664439.0,5697.0
1am0002,3916,2011,810.0,71175.0
1am0002,3916,2012,195.0,126970.0
1am0002,3916,2013,28718.0,120823.0
1am0002,3917,2011,1.0,16504443.0
1am0002,3917,2012,993.0,6827305.0
1am0002,3917,2013,265.0,5658633.0
1am0002,3917,2014,3913.0,4568656.0
1am0002,3919,2011,172190.0,45256791.0
1am0002,3919,2012,507403.0,50224018.0
1am0002,3919,2013,1143233.0,62761766.0
1am0002,3919,2014,736602.0,68069981.0
1am0002,3920,2011,200940.0,23374861.0
1am0002,3920,2012,28503.0,21820946.0
1am0002,3920,2013,842972.0,18011384.0
1am0002,3920,2014,7655.0,20735300.0
1am0002,3921,2011,147.0,15355557.0
1am0002,3921,2012,1916.0,19924590.0
1am0002,3921,2013,16569.0,19579464.0
1am0002,3921,2014,19197.0,20112740.0
1am0002,3923,2011,2442187.0,15622109.0
1am0002,3923,2012,3962706.0,16001655.0
1am0002,3923,2013,4459737.0,20946260.0
1am0002,3923,2014,1539039.0,22470914.0
1am0002,3924,2011,4758139.0,3655258.0
1am0002,3924,2012,752766.0,3509639.0
1am0002,3924,2013,640554.0,2283984.0
1am0002,3924,2014,312928.0,2417161.0
1am0002,3925,2011,27356.0,149941.0
